,Period,FTE,Team
0,2020/12,0.0,AWD
1,2020/12,7.0,Architecture
2,2020/12,40.2908496731832,CAMS
3,2020/12,99.729542483634,CAP/EAP
4,2020/12,0.0,CYC
5,2020/12,3.0,Leadership
6,2020/12,18.210000000023,OH Bank IT
7,2020/12,5.11,OH Bank Ops
8,2020/12,78.2535947712042,Optum Pay
9,2020/12,9.0,Solution Delivery
10,2020/12,1.05,Stop Loss
11,2020/12,6.016339869282,UPG
12,2021/1,7.0,AWD
13,2021/1,6.93,Architecture
14,2021/1,31.0,CAMS
15,2021/1,101.79000000000003,CAP/EAP
16,2021/1,0.0,CYC
17,2021/1,3.46,Leadership
18,2021/1,18.24,OH Bank IT
19,2021/1,5.08,OH Bank Ops
20,2021/1,78.06,Optum Pay
21,2021/1,9.0,Solution Delivery
22,2021/1,1.08,Stop Loss
23,2021/1,6.01,UPG
24,2021/2,5.0,AWD
25,2021/2,8.309999999999999,Architecture
26,2021/2,32.0,CAMS
27,2021/2,100.73,CAP/EAP
28,2021/2,0.0,CYC
29,2021/2,4.28,Leadership
30,2021/2,21.16,OH Bank IT
31,2021/2,4.0,OH Bank Ops
32,2021/2,87.61999999999998,Optum Pay
33,2021/2,9.0,Solution Delivery
34,2021/2,2.22,Stop Loss
35,2021/2,6.05,UPG
36,2021/3,4.0,AWD
37,2021/3,7.95,Architecture
38,2021/3,34.0,CAMS
39,2021/3,103.7,CAP/EAP
40,2021/3,0.0,CYC
41,2021/3,4.1899999999999995,Leadership
42,2021/3,23.19,OH Bank IT
43,2021/3,4.12,OH Bank Ops
44,2021/3,106.03999999999998,Optum Pay
45,2021/3,10.0,Solution Delivery
46,2021/3,2.16,Stop Loss
47,2021/3,5.98,UPG
48,2021/4,4.0,AWD
49,2021/4,8.67,Architecture
50,2021/4,35.0,CAMS
51,2021/4,102.93999999999998,CAP/EAP
52,2021/4,0.0,CYC
53,2021/4,3.09,Leadership
54,2021/4,23.23,OH Bank IT
55,2021/4,4.04,OH Bank Ops
56,2021/4,113.35000000000001,Optum Pay
57,2021/4,10.0,Solution Delivery
58,2021/4,2.08,Stop Loss
59,2021/4,5.96,UPG
60,2021/5,0.0,AWD
61,2021/5,0.0,Architecture
62,2021/5,30.0,CAMS
63,2021/5,94.80999999999999,CAP/EAP
64,2021/5,0.0,CYC
65,2021/5,4.04,Leadership
66,2021/5,24.13,OH Bank IT
67,2021/5,4.050000000000001,OH Bank Ops
68,2021/5,103.03,Optum Pay
69,2021/5,10.0,Solution Delivery
70,2021/5,2.04,Stop Loss
71,2021/5,4.99,UPG
72,2021/6,0.0,AWD
73,2021/6,0.0,Architecture
74,2021/6,31.0,CAMS
75,2021/6,95.69999999999999,CAP/EAP
76,2021/6,0.0,CYC
77,2021/6,4.2,Leadership
78,2021/6,31.83,OH Bank IT
79,2021/6,4.04,OH Bank Ops
80,2021/6,96.05285714285714,Optum Pay
81,2021/6,10.0,Solution Delivery
82,2021/6,2.05,Stop Loss
83,2021/6,4.93,UPG
84,2021/7,0.0,AWD
85,2021/7,0.0,Architecture
86,2021/7,29.0,CAMS
87,2021/7,99.42999999999999,CAP/EAP
88,2021/7,120.75142045454541,CYC
89,2021/7,4.01,Leadership
90,2021/7,36.559999999999995,OH Bank IT
91,2021/7,4.06,OH Bank Ops
92,2021/7,100.85999999999997,Optum Pay
93,2021/7,10.0,Solution Delivery
94,2021/7,2.03,Stop Loss
95,2021/7,5.699999999999999,UPG
96,2021/8,0.0,AWD
97,2021/8,0.0,Architecture
98,2021/8,28.0,CAMS
99,2021/8,97.29,CAP/EAP
100,2021/8,126.23142045454541,CYC
101,2021/8,5.03,Leadership
102,2021/8,37.019999999999996,OH Bank IT
103,2021/8,4.84,OH Bank Ops
104,2021/8,100.41000000000001,Optum Pay
105,2021/8,10.0,Solution Delivery
106,2021/8,2.0,Stop Loss
107,2021/8,5.96,UPG
108,2021/9,0.0,AWD
109,2021/9,0.0,Architecture
110,2021/9,27.0,CAMS
111,2021/9,97.84999999999998,CAP/EAP
112,2021/9,123.76142045454543,CYC
113,2021/9,2.05,Leadership
114,2021/9,40.94,OH Bank IT
115,2021/9,4.03,OH Bank Ops
116,2021/9,104.34999999999998,Optum Pay
117,2021/9,11.0,Solution Delivery
118,2021/9,2.04,Stop Loss
119,2021/9,6.6899999999999995,UPG
120,2021/10,0.0,AWD
121,2021/10,0.0,Architecture
122,2021/10,29.0,CAMS
123,2021/10,103.75999999999999,CAP/EAP
124,2021/10,125.38142045454542,CYC
125,2021/10,2.12,Leadership
126,2021/10,44.769999999999996,OH Bank IT
127,2021/10,4.26,OH Bank Ops
128,2021/10,104.23999999999998,Optum Pay
129,2021/10,11.0,Solution Delivery
130,2021/10,2.0,Stop Loss
131,2021/10,6.1499999999999995,UPG
132,2021/11,0.0,AWD
133,2021/11,0.0,Architecture
134,2021/11,29.0,CAMS
135,2021/11,102.76,CAP/EAP
136,2021/11,126.55142045454544,CYC
137,2021/11,3.1100000000000003,Leadership
138,2021/11,44.769999999999996,OH Bank IT
139,2021/11,4.1,OH Bank Ops
140,2021/11,106.23999999999998,Optum Pay
141,2021/11,11.0,Solution Delivery
142,2021/11,2.0,Stop Loss
143,2021/11,6.1499999999999995,UPG
